BankName,Rating,ServiceCharge,APY,MinEarn,MinDeposit,APY_Value
Self-Help Credit Union,4.4,$5,2.11%,$500,$500,2.11
CEFCU,3.8,—,2.05%,$25k,$2.5k,2.05
KS StateBank,5.0,$0,2.02%,$25k,$2.5k,2.02
Lake Michigan Credit Union,4.6,$0,2.00%,$25k,$0,2.0
American Bank,4.8,$0,2.00%,$0,$1,2.0
Connexus Credit Union,4.6,—,2.00%,$20k,$1k,2.0
Credit Human,4.6,$7,2.00%,$10k,$1k,2.0
Synchrony Bank,4.6,$0,2.00%,$0,$0,2.0
Travis Credit Union,4.0,—,1.95%,$25k,$1k,1.95
Allegacy Federal Credit Union,4.6,$0,1.80%,$25k,$50,1.8
Digital Federal Credit Union (DCU),4.6,$0,1.77%,$25k,$0,1.77
BB Americas Bank,3.6,$20,1.75%,$10k,$1k,1.75
Genisys Credit Union,3.8,—,1.71%,$25k,$2.5k,1.71
Mountain America Credit Union,5.0,—,1.70%,$25k,$0,1.7
CoVantage Credit Union,4.4,—,1.65%,$25k,—,1.65
NASA Federal Credit Union,4.3,$10,1.65%,$0,$25k,1.65
Library Of Congress Federal Credit Union,3.5,—,1.61%,$20k,$2.5k,1.61
CIT Bank,4.0,$0,1.55%,$0,$100,1.55
IncredibleBank,4.5,$10,1.51%,$10k,$0,1.51
Princeton Federal Credit Union,3.4,—,1.50%,$7.5k,—,1.5
Northrop Grumman Federal Credit Union,3.2,—,1.50%,$2.5k,$2.5k,1.5
Veridian Credit Union,3.8,$0,1.45%,$2.5k,—,1.45
All In Credit Union (AL),4.0,—,1.31%,$25k,$0,1.31
State Department Federal Credit Union,2.8,$0,1.26%,$25k,$25k,1.26
MainStreet Bank,4.4,—,1.25%,$25k,$2.5k,1.25
Meriwest Credit Union,3.1,—,1.25%,$10k,$10k,1.25
Vision Financial Federal Credit Union,2.8,—,1.21%,$2.5k,—,1.21
Salal Credit Union,3.4,$5,1.20%,$25k,$2.5k,1.2
United States Senate Federal Credit Union,3.6,$0,1.11%,$20k,$2k,1.11
Citizens State Bank (6194),4.0,—,1.11%,$25k,$0,1.11
Pacific Service Credit Union,3.5,—,1.10%,$25k,$0,1.1
Thrivent Federal Credit Union,3.9,$10,1.01%,$25k,$0,1.01
Greenwood Credit Union,3.4,$0,1.00%,$2.5k,$2.5k,1.0
Langley Federal Credit Union,3.6,—,1.00%,$25k,$0,1.0
Community First Credit Union,2.4,—,1.00%,$10k,$10k,1.0
GECU,3.2,—,1.00%,$2.5k,$2.5k,1.0
Golden 1 Credit Union,4.4,$0,1.00%,$10k,$100,1.0
Pen Air Credit Union,3.1,$10,1.00%,$25k,$2.5k,1.0
Southeast Financial Credit Union,3.2,—,0.90%,$10k,$0,0.9
1st Nor Cal Credit Union,5.0,$0,0.85%,$0,$0,0.85
AgFed Credit Union,3.7,—,0.85%,$10k,$0,0.85
Technology Credit Union,3.6,$0,0.85%,$25k,—,0.85
Amegy Bank,3.0,$12,0.80%,$1k,$500,0.8
Abound Credit Union,3.7,—,0.75%,$10k,$0,0.75
Pasadena Federal Credit Union,2.8,—,0.75%,$10k,$2.5k,0.75
Marine Federal Credit Union,5.0,—,0.75%,$0,$0,0.75
Jovia Financial Credit Union,3.2,$0,0.75%,$25k,—,0.75
NuVision Federal Credit Union,3.4,—,0.70%,$25k,$2.5k,0.7
Service Credit Union,3.4,$5,0.70%,$25k,—,0.7
Northwest Federal Credit Union,4.0,—,0.65%,$25k,$0,0.65
UNIFY Financial Credit Union,2.5,—,0.65%,$10k,$2.5k,0.65
GTE Financial,4.0,—,0.65%,$10k,$1,0.65
Consumers Credit Union (IL),3.7,—,0.65%,$25k,—,0.65
Provident Credit Union (CA),4.1,—,0.61%,$10k,—,0.61
Workers Credit Union,3.2,$7,0.60%,$25k,$1k,0.6
Alabama Credit Union,4.1,—,0.60%,$25k,$2.5k,0.6
SunWest,3.0,—,0.60%,$25k,—,0.6
Teachers Federal Credit Union,3.4,$5,0.60%,$25k,$2.5k,0.6
Velocity Credit Union,2.9,$10,0.60%,$2k,$1k,0.6
Sunward Federal Credit Union,2.5,—,0.55%,$25k,$2.5k,0.55
Chartway Federal Credit Union,2.2,—,0.55%,$25k,—,0.55
North American Savings Bank,3.5,$7.50,0.55%,$25k,$1k,0.55
Advancial,2.8,$0,0.51%,$25k,$2.5k,0.51
City National Bank (CA),3.3,$25,0.50%,$0,$10k,0.5
Newtown Savings Bank,2.7,$20,0.50%,$20,$0,0.5
Diablo Valley Federal Credit Union,3.2,—,0.50%,$25k,—,0.5
Monterra Credit Union,4.4,—,0.50%,$0,$2.5k,0.5
AmeriCU,3.7,—,0.50%,$25k,$0,0.5
Patriot Bank (CT),4.0,$12,0.50%,$0,$100,0.5
KeyPoint Credit Union (CA),4.4,$0,0.50%,$0,$25k,0.5
KeyBank,2.8,$20,0.50%,$25k,$5k,0.5
St. Mary's Bank,2.7,$10,0.45%,$10k,$10,0.45
True Sky Credit Union,2.5,—,0.45%,$25k,—,0.45
Valley National Bank,2.6,$25,0.40%,$10k,$10k,0.4
Zions Bank,3.8,$0,0.40%,$1k,$500,0.4
HomeStreet Bank,4.0,—,0.35%,$0,—,0.35
EastRise Credit Union,5.0,—,0.34%,$0,—,0.34
