BankName,Rating,ServiceCharge,APY,MinEarn,MinDeposit,APY_Value
The First National Bank of Shiner,4.1,—,0.20%,$0,—,0.2
"The Lytle State Bank of Lytle, Texas",3.7,—,0.20%,$500,—,0.2
Border Federal Credit Union,3.7,—,0.15%,$500,—,0.15
MutualOne Bank,3.8,$8,0.15%,$5k,$100,0.15
Service Credit Union,4.0,—,0.15%,$0,—,0.15
Affinity Plus Federal Credit Union,3.5,$6,0.13%,$200,—,0.13
American Heritage Credit Union,2.2,$10,0.11%,$7.5k,$7.5k,0.11
"SouthStar Bank, S.S.B.",3.1,—,0.10%,$1k,—,0.1
OneUnited Bank,3.1,$20,0.10%,$100,$500,0.1
Pennsylvania State Employees Credit Union,4.2,$0,0.10%,$0,—,0.1
Prime Alliance Bank,4.2,$0,0.10%,$15k,$1,0.1
Self-Help Credit Union,4.1,$5,0.10%,$0,$0,0.1
Self-Help Federal Credit Union,3.9,$5,0.10%,$0,$0,0.1
LendingClub,3.2,$0,0.10%,$2.5k,$25,0.1
Spectrum Credit Union,3.8,$0,0.10%,$500,—,0.1
TAB Bank,3.3,$8,0.10%,$1,$25,0.1
Texas Capital Bank,4.2,$0,0.10%,$0,—,0.1
The Federal Savings Bank,3.5,—,0.10%,$100,—,0.1
WaFd Bank,3.8,$12,0.10%,$0,$25,0.1
NuVision Federal Credit Union,2.2,$25,0.10%,$25k,$100,0.1
Advancial,4.0,$0,0.10%,$10k,$0,0.1
Latino Credit Union,3.8,$2,0.10%,$0,$0,0.1
Chevron Federal Credit Union,3.7,$0,0.10%,$500,—,0.1
Hanscom Federal Credit Union,3.6,$9.95,0.10%,$0,$0,0.1
Bank of Blue Valley,3.6,$12,0.10%,$0,$500,0.1
Bellco Credit Union,3.6,$12,0.10%,$25k,$0,0.1
Capital One,4.3,$0,0.10%,$0,$0,0.1
Castroville State Bank,4.0,—,0.10%,$800,—,0.1
bankESB,4.2,$0,0.10%,$25k,$100,0.1
CoVantage Credit Union,3.8,$0,0.10%,$500,—,0.1
Credit Human,3.6,$5,0.10%,$0,$25,0.1
Fort Bragg Federal Credit Union,2.4,$5.95,0.10%,$2.5k,—,0.1
GECU,3.3,$0,0.10%,$2.5k,$0,0.1
Genisys Credit Union,2.4,$10,0.10%,$1.5k,$1.5k,0.1
Zions Bank,3.0,$10,0.06%,$5k,$50,0.06
E*TRADE from Morgan Stanley,3.2,—,0.05%,$0,—,0.05
Luana Savings Bank,3.6,$8,0.05%,$0,$1k,0.05
Library Of Congress Federal Credit Union,3.2,$0,0.05%,$0,—,0.05
KeyBank,3.2,$25,0.05%,$0,$50,0.05
Justice Federal Credit Union,2.2,$8,0.05%,$2.5k,$25,0.05
IncredibleBank,3.4,$10,0.05%,$0,$0,0.05
Hughes Federal Credit Union,3.8,$0,0.05%,$0,—,0.05
Greater Texas Federal Credit Union,2.9,$0,0.05%,$1.3k,—,0.05
Allegacy Federal Credit Union,3.4,$3,0.05%,$0,$50,0.05
Community Bank of Raymore,3.2,$6,0.05%,$0,$25,0.05
CIBC Bank USA,4.2,$0,0.05%,$0,$50,0.05
Chartway Federal Credit Union,2.4,$6,0.05%,$10k,—,0.05
California Coast Credit Union,3.0,$8,0.05%,$50,$25,0.05
Broadway National Bank,2.6,—,0.05%,$1k,$25,0.05
Boeing Employees Credit Union (BECU),4.0,$0,0.05%,$0,—,0.05
Affinity Federal Credit Union,2.6,$7,0.05%,$1k,—,0.05
Magnifi Financial,3.8,$5,0.05%,$0,$0,0.05
