BankName,Rating,ServiceCharge,APY,MinEarn,MinDeposit,APY_Value
The Federal Savings Bank,3.5,—,0.10%,$100,—,0.1
United Security Bank (CA),4.0,$0,0.10%,$100,$100,0.1
Latino Credit Union,3.8,$2,0.10%,$0,$0,0.1
CoVantage Credit Union,3.8,$0,0.10%,$500,—,0.1
HomeStreet Bank,2.6,$10,0.10%,$10k,$2.5k,0.1
Credit Human,3.6,$5,0.10%,$0,$25,0.1
Hanscom Federal Credit Union,3.6,$9.95,0.10%,$0,$0,0.1
Advancial,4.0,$0,0.10%,$10k,$0,0.1
Bank of Blue Valley,3.6,$12,0.10%,$0,$500,0.1
Bellco Credit Union,3.6,$12,0.10%,$25k,$0,0.1
Capital One,4.3,$0,0.10%,$0,$0,0.1
Chevron Federal Credit Union,3.7,$0,0.10%,$500,—,0.1
bankESB,4.2,$0,0.10%,$25k,$100,0.1
CTBC Bank,4.3,$0,0.10%,$15k,$100,0.1
First Flight Federal Credit Union,3.8,—,0.10%,$0,—,0.1
Fort Bragg Federal Credit Union,2.4,$5.95,0.10%,$2.5k,—,0.1
GECU,3.3,$0,0.10%,$2.5k,$0,0.1
Genisys Credit Union,2.4,$10,0.10%,$1.5k,$1.5k,0.1
Golden 1 Credit Union,3.4,—,0.10%,$10k,—,0.1
Exchange Bank (CA),3.6,$20,0.07%,$10k,—,0.07
Zions Bank,3.0,$10,0.06%,$5k,$50,0.06
Financial Resources Federal Credit Union,3.8,$0,0.05%,$0,$25,0.05
Library Of Congress Federal Credit Union,3.2,$0,0.05%,$0,—,0.05
KeyPoint Credit Union (CA),3.0,$12,0.05%,$0,$100,0.05
KeyBank,3.2,$25,0.05%,$0,$50,0.05
Justice Federal Credit Union,2.2,$8,0.05%,$2.5k,$25,0.05
IncredibleBank,3.4,$10,0.05%,$0,$0,0.05
Hughes Federal Credit Union,3.8,$0,0.05%,$0,—,0.05
First Citizens Bank (NC),2.6,$18,0.05%,$0,$100,0.05
1st Nor Cal Credit Union,2.9,$0,0.05%,$10k,—,0.05
E*TRADE from Morgan Stanley,3.2,—,0.05%,$0,—,0.05
Community First Credit Union,2.3,$12,0.05%,$1k,$1k,0.05
Community Bank of Raymore,3.2,$6,0.05%,$0,$25,0.05
CIBC Bank USA,4.2,$0,0.05%,$0,$50,0.05
Chartway Federal Credit Union,2.4,$6,0.05%,$10k,—,0.05
California Coast Credit Union,3.0,$8,0.05%,$50,$25,0.05
Allegacy Federal Credit Union,3.4,$3,0.05%,$0,$50,0.05
Affinity Federal Credit Union,2.6,$7,0.05%,$1k,—,0.05
Luana Savings Bank,3.6,$8,0.05%,$0,$1k,0.05
