BankName,Rating,ServiceCharge,APY,MinEarn,MinDeposit,APY_Value
Prime Alliance Bank,4.3,$0,0.10%,$15k,$1,0.1
Manasquan Bank,4.0,$0,0.10%,$0,$50,0.1
NuVision Federal Credit Union,2.4,$25,0.10%,$25k,$100,0.1
OneUnited Bank,3.1,$20,0.10%,$100,$500,0.1
Pennsylvania State Employees Credit Union,4.2,$0,0.10%,$0,—,0.1
Latino Credit Union,3.8,$2,0.10%,$0,$0,0.1
The Federal Savings Bank,3.5,—,0.10%,$100,—,0.1
Self-Help Credit Union,4.1,$5,0.10%,$0,$0,0.1
Self-Help Federal Credit Union,3.9,$5,0.10%,$0,$0,0.1
Spectrum Credit Union,3.8,$0,0.10%,$500,—,0.1
State Employees' Credit Union (NC),4.0,$1,0.10%,$0,$0,0.1
Technology Credit Union,3.0,$0,0.10%,$1.5k,$0,0.1
LendingClub,3.2,$0,0.10%,$2.5k,$25,0.1
Credit Human,3.6,$5,0.10%,$0,$25,0.1
Hanscom Federal Credit Union,3.6,$9.95,0.10%,$0,$0,0.1
Genisys Credit Union,2.4,$10,0.10%,$1.5k,$1.5k,0.1
GECU,3.3,$0,0.10%,$2.5k,$0,0.1
Fort Liberty Federal Credit Union,2.4,$5.95,0.10%,$2.5k,—,0.1
Empeople Credit Union,4.0,$0,0.10%,$0,—,0.1
CoVantage Credit Union,3.8,$0,0.10%,$500,—,0.1
Chevron Federal Credit Union,3.7,$0,0.10%,$500,—,0.1
Capital One,4.3,$0,0.10%,$0,$0,0.1
Benchmark Community Bank,3.0,$5,0.10%,$500,$100,0.1
Bellco Credit Union,3.6,$12,0.10%,$25k,$0,0.1
Bank of Blue Valley,3.6,$12,0.10%,$0,$500,0.1
Advancial,4.0,$0,0.10%,$10k,$0,0.1
SouthState Bank,3.4,$8,0.08%,$0,$25,0.08
First National Bank of Pennsylvania,2.7,$10,0.07%,$15k,—,0.07
Zions Bank,3.0,$10,0.06%,$5k,$50,0.06
The Adirondack Trust Company,3.0,$5,0.05%,$500,$1,0.05
Teachers Federal Credit Union,2.8,$0,0.05%,$2.5k,$0,0.05
Summit Credit Union (WI),3.4,$6,0.05%,$25,$25,0.05
Patelco Credit Union,3.5,$5,0.05%,$0,—,0.05
Luana Savings Bank,3.6,$8,0.05%,$0,$1k,0.05
Pasadena Federal Credit Union,2.8,$8,0.05%,$800,$100,0.05
Northrop Grumman Federal Credit Union,3.2,$0,0.05%,$500,$25,0.05
North Carolina Community Federal Credit Union,2.1,—,0.05%,$2.5k,—,0.05
My eBanc,3.2,$15,0.05%,$0,$5k,0.05
Matadors Community Credit Union,2.6,$7,0.05%,$1k,$25,0.05
Magnifi Financial,3.8,$5,0.05%,$0,$0,0.05
E*TRADE from Morgan Stanley,3.2,—,0.05%,$0,—,0.05
Library Of Congress Federal Credit Union,3.2,$0,0.05%,$0,—,0.05
KeyBank,3.2,$25,0.05%,$0,$50,0.05
IncredibleBank,3.4,$10,0.05%,$0,$0,0.05
Hughes Federal Credit Union,3.8,$0,0.05%,$0,—,0.05
Great Lakes Credit Union,3.6,$0,0.05%,$1,$0,0.05
First Citizens Bank (NC),2.6,$18,0.05%,$0,$100,0.05
Community Bank of Raymore,3.2,$6,0.05%,$0,$25,0.05
CIBC Bank USA,4.2,$0,0.05%,$0,$50,0.05
Chartway Federal Credit Union,2.4,$6,0.05%,$10k,—,0.05
Allegacy Federal Credit Union,3.4,$3,0.05%,$0,$50,0.05
UNIFY Financial Credit Union,2.2,$20,0.05%,$1k,$25,0.05
