BankName,Rating,EarlyWithDrawalPenalty,APY,MinEarn,MinDeposit,APY_Value
Affinity Plus Federal Credit Union,4.6,180 Days,4.00%,$500,$500,4.0
American Express,3.6,270 Days,4.00%,$0,$0,4.0
Bask Bank,3.9,180 Days,4.00%,$1k,$1k,4.0
CFG Bank,3.8,—,4.00%,$500,$500,4.0
Chevron Federal Credit Union,4.7,—,4.00%,$500,—,4.0
Consumers Credit Union (IL),4.7,—,4.00%,$250,—,4.0
E*TRADE from Morgan Stanley,4.6,—,4.00%,$0,$0,4.0
Greenwood Credit Union,4.0,180 Days,4.00%,$1k,$1k,4.0
Latino Credit Union,4.6,90 Days,4.00%,$500,$500,4.0
"Santander Bank, N.A",3.8,—,4.00%,$500,$500,4.0
Spectrum Credit Union,3.8,—,4.00%,$500,$500,4.0
Hanscom Federal Credit Union,3.8,—,4.00%,$1k,—,4.0
Northwest Federal Credit Union,3.1,180 Days,4.00%,$1k,$1k,4.0
Dover Federal Credit Union,4.5,90 Days,4.00%,$500,$500,4.0
Barclays,4.8,90 Days,4.00%,$0,$0,4.0
Capital One,4.6,90 Days,4.00%,$0,$0,4.0
Citi,4.0,180 Days,4.00%,$0,$500,4.0
Discover®,3.9,180 Days,4.00%,$0,$0,4.0
Empeople Credit Union,4.6,90 Days,4.00%,$500,$500,4.0
Fort Bragg Federal Credit Union,3.0,90 Days,4.00%,$25k,$25k,4.0
Ideal Credit Union,4.6,90 Days,4.00%,$500,$500,4.0
iGObanking,3.8,—,4.00%,$1k,—,4.0
MainStreet Bank,4.4,90 Days,4.00%,$500,$500,4.0
Matadors Community Credit Union,2.8,—,4.00%,$1k,$1k,4.0
Evergreen Bank Group,4.7,90 Days,4.00%,$500,$500,4.0
Grow Financial Federal Credit Union,4.6,90 Days,3.97%,$500,$500,3.97
State Department Federal Credit Union,3.9,180 Days,3.96%,$500,$500,3.96
Sun Canyon Bank,3.4,180 Days,3.96%,$5k,$5k,3.96
Sandia Area Federal Credit Union,3.6,—,3.95%,$500,$500,3.95
Bank5 Connect,4.6,180 Days,3.95%,$500,$500,3.95
Notre Dame Federal Credit Union,4.3,90 Days,3.95%,$0,$0,3.95
Northrop Grumman Federal Credit Union,3.0,90 Days,3.95%,$2.5k,$2.5k,3.95
MapleMark Bank,3.3,180 Days,3.90%,$25k,$25k,3.9
Live Oak Bank,3.8,90 Days,3.90%,$2.5k,$2.5k,3.9
Langley Federal Credit Union,4.6,180 Days,3.90%,$500,$500,3.9
Capital Educators Federal Credit Union,4.4,—,3.90%,$500,—,3.9
Self-Help Federal Credit Union,4.5,180 Days,3.87%,$500,$500,3.87
Manasquan Bank,4.6,180 Days,3.85%,$500,$500,3.85
Hughes Federal Credit Union,3.7,90 Days,3.82%,$1k,$1k,3.82
Marine Federal Credit Union,4.1,180 Days,3.82%,$1k,$1k,3.82
Bread Savings,3.5,180 Days,3.80%,$1.5k,$1.5k,3.8
Vio Bank,3.6,—,3.80%,$500,$500,3.8
Alliant Credit Union,4.0,120 Days,3.80%,$1k,$1k,3.8
State Bank of Texas (SBT),4.1,—,3.80%,$1k,$100k,3.8
CIBC Bank USA,4.2,30 Days,3.76%,$1k,$1k,3.76
bankESB,4.4,—,3.75%,$0,—,3.75
"Roxboro Savings Bank, SSB",2.4,—,3.75%,$5k,—,3.75
Technology Credit Union,3.6,90 Days,3.75%,$1k,$1k,3.75
Teachers Federal Credit Union,3.0,180 Days,3.75%,$1k,$1k,3.75
Regions Bank,4.0,—,3.75%,$500,—,3.75
Blue Federal Credit Union,3.6,90 Days,3.75%,$1k,$1k,3.75
