BankName,Rating,ServiceCharge,APY,MinEarn,MinDeposit,APY_Value
Self-Help Federal Credit Union,3.8,$5,2.12%,$500,$500,2.12
Self-Help Credit Union,4.4,$5,2.12%,$500,$500,2.12
Utah First Federal Credit Union,5.0,—,2.10%,$25k,—,2.1
KS StateBank,5.0,$0,2.02%,$25k,$2.5k,2.02
"North Shore Bank, FSB",3.8,$20,2.00%,$25k,$25,2.0
Sandia Area Federal Credit Union,3.4,—,2.00%,$500,$500,2.0
American Bank,4.8,$0,2.00%,$0,$1,2.0
Credit Human,4.6,$7,2.00%,$10k,$1k,2.0
Scott Credit Union,4.4,—,2.00%,$25k,$0,2.0
Synchrony Bank,4.6,$0,2.00%,$0,$0,2.0
Allegacy Federal Credit Union,4.6,$0,1.80%,$25k,$50,1.8
Digital Federal Credit Union (DCU),4.6,$0,1.77%,$25k,$0,1.77
BB Americas Bank,3.6,$20,1.75%,$10k,$1k,1.75
Genisys Credit Union,3.8,—,1.71%,$25k,$2.5k,1.71
Mountain America Credit Union,5.0,—,1.70%,$25k,$0,1.7
CoVantage Credit Union,4.4,—,1.65%,$25k,—,1.65
NASA Federal Credit Union,4.3,$10,1.65%,$0,$25k,1.65
Library Of Congress Federal Credit Union,3.5,—,1.61%,$20k,$2.5k,1.61
CIT Bank,4.0,$0,1.55%,$0,$100,1.55
IncredibleBank,4.5,$10,1.51%,$10k,$0,1.51
Acme Continental Credit Union,4.0,—,1.51%,$2k,—,1.51
Princeton Federal Credit Union,3.4,—,1.50%,$7.5k,—,1.5
Regions Bank,3.7,—,1.50%,$10k,—,1.5
Northrop Grumman Federal Credit Union,3.2,—,1.50%,$2.5k,$2.5k,1.5
GreenState Credit Union,3.3,$10,1.45%,$2.5k,$2.5k,1.45
Veridian Credit Union,3.8,$0,1.45%,$2.5k,—,1.45
Grow Financial Federal Credit Union,4.4,—,1.36%,$25k,—,1.36
All In Credit Union (AL),4.0,—,1.31%,$25k,$0,1.31
Albany Bank and Trust Company National Association,2.9,$15,1.30%,$25k,$2.5k,1.3
First State Bank (Mendota),4.3,$10,1.26%,$25k,$2.5k,1.26
First National Bank of Brookfield,3.7,—,1.26%,$25k,—,1.26
MainStreet Bank,4.4,—,1.25%,$25k,$2.5k,1.25
Woodforest National Bank,3.8,$25,1.25%,$0,$25,1.25
Fox Valley Credit Union,3.2,—,1.21%,$20k,—,1.21
Vision Financial Federal Credit Union,2.8,—,1.21%,$2.5k,—,1.21
American Metro Bank,1.8,—,1.20%,$10k,—,1.2
Quorum Federal Credit Union,4.4,$0,1.20%,$25k,—,1.2
Salal Credit Union,3.4,$5,1.20%,$25k,$2.5k,1.2
Citizens State Bank (6194),4.0,—,1.11%,$25k,$0,1.11
United States Senate Federal Credit Union,3.6,$0,1.11%,$20k,$2k,1.11
Skyla Credit Union,4.0,—,1.00%,$1k,$1k,1.0
Boeing Employees Credit Union (BECU),4.4,$0,1.00%,$10k,—,1.0
GECU,3.2,—,1.00%,$2.5k,$2.5k,1.0
Pen Air Credit Union,3.1,$10,1.00%,$25k,$2.5k,1.0
Prairie Community Bank,3.4,—,1.00%,$25k,—,1.0
Greenwood Credit Union,3.4,$0,1.00%,$2.5k,$2.5k,1.0
Mirastar Federal Credit Union,2.2,—,1.00%,$2.5k,$2.5k,1.0
Langley Federal Credit Union,3.6,—,1.00%,$25k,$0,1.0
Southeast Financial Credit Union,3.2,—,0.90%,$10k,$0,0.9
AgFed Credit Union,3.7,—,0.85%,$10k,$0,0.85
New Century Federal Credit Union,3.0,—,0.85%,$10k,—,0.85
Technology Credit Union,3.6,$0,0.85%,$25k,—,0.85
Amegy Bank,3.0,$12,0.80%,$1k,$500,0.8
Jovia Financial Credit Union,3.2,$0,0.75%,$25k,—,0.75
La Salle State Bank,3.1,$8,0.75%,$25k,—,0.75
Marine Federal Credit Union,5.0,—,0.75%,$0,$0,0.75
Providence Bank & Trust,4.0,—,0.75%,$0,—,0.75
Abound Credit Union,3.4,—,0.75%,$10k,$0,0.75
American Broadcast Employees Federal Credit Union,3.5,—,0.75%,$25k,$2.5k,0.75
Pasadena Federal Credit Union,2.8,—,0.75%,$10k,$2.5k,0.75
First American Bank (IL),3.7,—,0.70%,$25k,—,0.7
NuVision Federal Credit Union,3.4,—,0.70%,$25k,$2.5k,0.7
"CNB Bank and Trust, N.A.",3.2,—,0.70%,$2.5k,—,0.7
Consumers Credit Union (IL),3.7,—,0.65%,$25k,—,0.65
GTE Financial,4.0,—,0.65%,$10k,$1,0.65
Northwest Federal Credit Union,4.0,—,0.65%,$25k,$0,0.65
UNIFY Financial Credit Union,2.5,—,0.65%,$10k,$2.5k,0.65
Magnifi Financial,3.8,$0,0.65%,$25k,$2.5k,0.65
SunWest,3.0,—,0.60%,$25k,—,0.6
Velocity Credit Union,2.9,$10,0.60%,$2k,$1k,0.6
Teachers Federal Credit Union,3.4,$5,0.60%,$25k,$2.5k,0.6
First Savings Bank of Hegewisch,2.7,$10,0.60%,$25k,$1.5k,0.6
Central Bank Illinois,3.1,$10,0.60%,$25k,$1k,0.6
Alabama Credit Union,4.1,—,0.60%,$25k,$2.5k,0.6
North American Savings Bank,3.5,$7.50,0.55%,$25k,$1k,0.55
Chartway Federal Credit Union,2.2,—,0.55%,$25k,—,0.55
Advancial,2.8,$0,0.51%,$25k,$2.5k,0.51
Fortera Credit Union,2.0,$12,0.50%,$2.5k,$2.5k,0.5
