BankName,Rating,ServiceCharge,APY,MinEarn,MinDeposit
First Heroes National Bank,4.0,—,0.50%,$25k,—
First National Bank Texas,3.7,$12,0.50%,$25k,$0
Newtown Savings Bank,2.7,$20,0.50%,$20,$0
St. Mary's Bank,2.7,$10,0.45%,$10k,$10
REV Federal Credit Union,5.0,—,0.45%,$25k,$1.5k
True Sky Credit Union,2.5,—,0.45%,$25k,—
Zions Bank,3.8,$0,0.40%,$1k,$500
Woodforest National Bank,3.3,$10,0.35%,$0,$25
EastRise Credit Union,5.0,—,0.34%,$0,—
Greater Texas Federal Credit Union,2.8,$0,0.30%,$2.5k,$2.5k
Ideal Credit Union,3.3,$10,0.30%,$2.5k,—
Justice Federal Credit Union,1.8,—,0.30%,$25k,$25
Presidential Bank (MD),3.6,$5,0.30%,$10k,$1k
TDECU,3.5,$10,0.30%,$25k,$2.5k
Axos Bank,3.4,$0,0.25%,$0,—
Castroville State Bank,3.1,$10,0.25%,$25k,$1.5k
U.S. Bank,4.4,—,0.25%,$25k,—
Valley National Bank,2.8,$25,0.25%,$0,$10k
Giantbank.com,2.4,—,0.25%,$1k,$1k
Langley Federal Credit Union,3.2,—,0.25%,$25k,$100
Patelco Credit Union,4.6,$0,0.25%,$0,$1
Premier Members Credit Union,5.0,—,0.25%,$0,$5
U.S. Bank,3.1,$10,0.25%,$25k,$100
bankESB,3.4,$6,0.20%,$0,$500
MutualOne Bank,3.0,$0,0.20%,$10k,$500
