BankName,Rating,ServiceCharge,APY,MinEarn,MinDeposit,APY_Value
Credit Human,4.6,$7,2.00%,$10k,$1k,2.0
American Bank,4.8,$0,2.00%,$0,$1,2.0
Lake Michigan Credit Union,4.6,$0,2.00%,$25k,$0,2.0
AERO Financial Credit Union,3.4,$0,1.85%,$20k,$5k,1.85
Allegacy Federal Credit Union,4.6,$0,1.80%,$25k,$50,1.8
Digital Federal Credit Union (DCU),4.6,$0,1.77%,$25k,$0,1.77
First American Credit Union,3.8,$0,1.76%,$10k,$1.5k,1.76
BB Americas Bank,3.6,$20,1.75%,$10k,$1k,1.75
Mountain America Credit Union,5.0,—,1.75%,$25k,$0,1.75
CoVantage Credit Union,4.4,—,1.75%,$25k,—,1.75
Genisys Credit Union,3.8,—,1.71%,$25k,$2.5k,1.71
NASA Federal Credit Union,4.3,$10,1.65%,$0,$25k,1.65
Library Of Congress Federal Credit Union,3.5,—,1.61%,$20k,$2.5k,1.61
Credit Union West,4.8,$0,1.60%,$2.5k,$0,1.6
SunWest Federal Credit Union,4.4,$0,1.56%,$25k,—,1.56
CIT Bank,4.0,$0,1.55%,$0,$100,1.55
Northrop Grumman Federal Credit Union,3.2,—,1.55%,$2.5k,$2.5k,1.55
IncredibleBank,4.5,$10,1.51%,$10k,$0,1.51
Capital Educators Federal Credit Union,2.9,$18,1.50%,$25k,$0,1.5
Princeton Federal Credit Union,3.4,—,1.50%,$7.5k,—,1.5
Veridian Credit Union,3.8,$0,1.45%,$2.5k,—,1.45
All In Credit Union (AL),4.0,—,1.31%,$25k,$0,1.31
Academy Bank,4.5,$10,1.30%,$25k,$25,1.3
State Department Federal Credit Union,2.8,$0,1.26%,$25k,$25k,1.26
MainStreet Bank,4.4,—,1.25%,$25k,$2.5k,1.25
WaFd Bank,3.7,—,1.25%,$0,—,1.25
Vision Financial Federal Credit Union,2.8,—,1.21%,$2.5k,—,1.21
Salal Credit Union,3.4,$5,1.20%,$25k,$2.5k,1.2
Quorum Federal Credit Union,4.4,$0,1.20%,$25k,—,1.2
Citizens State Bank (6194),4.0,—,1.11%,$25k,$0,1.11
United States Senate Federal Credit Union,3.6,$0,1.11%,$20k,$2k,1.11
Boeing Employees Credit Union (BECU),4.4,$0,1.06%,$10k,—,1.06
Mohave Community Federal Credit Union,3.4,$12,1.01%,$10k,$1k,1.01
Corporate America Family Credit Union,4.2,$0,1.01%,$25k,—,1.01
Thrivent Federal Credit Union,3.9,$10,1.01%,$25k,$0,1.01
Pen Air Credit Union,3.1,$10,1.00%,$25k,$2.5k,1.0
Desert Financial Credit Union,3.5,$15,1.00%,$25k,—,1.0
Bank of Colorado,3.7,$15,1.00%,$25k,$1k,1.0
Arizona Financial Credit Union,3.7,$15,1.00%,$25k,$2k,1.0
Stearns Bank National Association,4.4,—,1.00%,$0,—,1.0
Langley Federal Credit Union,3.6,—,1.00%,$25k,$0,1.0
Greenwood Credit Union,3.4,$0,1.00%,$2.5k,$2.5k,1.0
Amalgamated Bank,4.4,—,1.00%,$25k,—,1.0
Southeast Financial Credit Union,3.2,—,0.90%,$10k,$0,0.9
AgFed Credit Union,3.7,—,0.85%,$10k,$0,0.85
Copper State Credit Union,4.8,$0,0.85%,$25k,—,0.85
Technology Credit Union,3.6,$0,0.85%,$25k,—,0.85
NuVision Federal Credit Union,3.4,—,0.80%,$25k,$2.5k,0.8
BMO Bank N.A.,3.7,$10,0.80%,$0,$25,0.8
Jovia Financial Credit Union,3.2,$0,0.75%,$25k,—,0.75
Marine Federal Credit Union,5.0,—,0.75%,$0,$0,0.75
Abound Credit Union,3.7,—,0.75%,$10k,$0,0.75
Coconino Federal Credit Union,3.4,—,0.75%,$10k,—,0.75
Pasadena Federal Credit Union,2.8,—,0.75%,$10k,$2.5k,0.75
Magnifi Financial,3.8,$0,0.65%,$25k,$2.5k,0.65
GTE Financial,4.0,—,0.65%,$10k,$1,0.65
Northwest Federal Credit Union,4.0,—,0.65%,$25k,$0,0.65
UNIFY Financial Credit Union,2.5,—,0.65%,$10k,$2.5k,0.65
SunWest,3.0,—,0.60%,$25k,—,0.6
Teachers Federal Credit Union,3.4,$5,0.60%,$25k,$2.5k,0.6
North American Savings Bank,3.5,$7.50,0.55%,$25k,$1k,0.55
Chartway Federal Credit Union,2.2,—,0.55%,$25k,—,0.55
Pinnacle Federal Credit Union,2.1,—,0.55%,$20k,$20k,0.55
