BankName,Rating,EarlyWithDrawalPenalty,APY,MinEarn,MinDeposit,APY_Value
Northwest Federal Credit Union,3.1,180 Days,4.00%,$1k,$1k,4.0
Matadors Community Credit Union,2.8,—,4.00%,$1k,$1k,4.0
Mid-Atlantic Federal Credit Union,2.8,—,4.00%,$1k,$1k,4.0
Northrop Grumman Federal Credit Union,3.2,90 Days,4.00%,$2.5k,$2.5k,4.0
Presidential Bank (MD),3.1,180 Days,4.00%,$1k,$1k,4.0
Synchrony Bank,4.6,90 Days,4.00%,$0,$0,4.0
Technology Credit Union,3.8,90 Days,4.00%,$1k,$1k,4.0
John Marshall Bank,3.7,180 Days,4.00%,$500,$500,4.0
MainStreet Bank,4.4,90 Days,4.00%,$500,$500,4.0
Dover Federal Credit Union,4.5,90 Days,4.00%,$500,$500,4.0
Ideal Credit Union,4.6,90 Days,4.00%,$500,$500,4.0
Hanscom Federal Credit Union,3.8,—,4.00%,$1k,—,4.0
Fort Liberty Federal Credit Union,3.0,90 Days,4.00%,$25k,$25k,4.0
Evergreen Bank Group,4.7,90 Days,4.00%,$500,$500,4.0
Discover®,3.9,180 Days,4.00%,$0,$0,4.0
Credit Human,3.8,180 Days,4.00%,$500,$500,4.0
Citi,4.0,180 Days,4.00%,$0,$500,4.0
Capital One,4.6,90 Days,4.00%,$0,$0,4.0
Barclays,4.8,90 Days,4.00%,$0,$0,4.0
Apple Federal Credit Union,3.7,180 Days,4.00%,$500,$500,4.0
State Department Federal Credit Union,3.9,180 Days,3.96%,$500,$500,3.96
Armed Forces Bank,3.2,365 Days,3.95%,$500,$500,3.95
Bayer Heritage Federal Credit Union,4.6,60 Days,3.92%,$100,$100,3.92
Chevron Federal Credit Union,3.6,—,3.90%,$500,$500,3.9
Capital Educators Federal Credit Union,4.4,—,3.90%,$500,—,3.9
Ally Bank,4.6,60 Days,3.85%,$0,$0,3.85
American Express®,3.5,270 Days,3.85%,$0,$0,3.85
Bellco Credit Union,4.4,90 Days,3.85%,$500,$500,3.85
SkyPoint Federal Credit Union,3.5,—,3.85%,$1k,$1k,3.85
Hughes Federal Credit Union,3.7,90 Days,3.82%,$1k,$1k,3.82
State Bank of Texas (SBT),4.1,—,3.80%,$1k,$50k,3.8
The Bank of Romney,4.4,—,3.80%,$500,—,3.8
Teachers Federal Credit Union,3.0,180 Days,3.75%,$1k,$1k,3.75
Pendleton Community Bank,2.4,—,3.75%,$10k,—,3.75
Pinnacle Federal Credit Union,4.0,—,3.75%,$500,—,3.75
Library Of Congress Federal Credit Union,3.6,180 Days,3.75%,$500,$500,3.75
Blue Federal Credit Union,3.6,90 Days,3.75%,$1k,$1k,3.75
SunWest,4.0,—,3.65%,$500,—,3.65
UNIFY Financial Credit Union,4.3,90 Days,3.63%,$100,$100,3.63
Corporate America Family Credit Union,3.7,60 Days,3.56%,$10k,$1k,3.56
NuVision Federal Credit Union,2.4,—,3.55%,$25k,$1k,3.55
Pennsylvania State Employees Credit Union,4.4,90 Days,3.55%,$500,$500,3.55
SECU,4.2,90 Days,3.55%,$500,$500,3.55
Orion Federal Credit Union,3.2,—,3.50%,$500,$500,3.5
UVA Community Credit Union,4.4,90 Days,3.50%,$500,$500,3.5
Crescent Bank,3.4,90 Days,3.50%,$1k,$1k,3.5
Manasquan Bank,4.2,90 Days,3.50%,$500,$500,3.5
United States Senate Federal Credit Union,3.6,90 Days,3.46%,$1k,$1k,3.46
Allegacy Federal Credit Union,4.1,—,3.35%,$500,$500,3.35
Sandy Spring Bank,2.2,—,3.30%,$1k,$1k,3.3
Chartway Federal Credit Union,3.2,—,3.30%,$500,$500,3.3
Farmers & Merchants Bank,2.2,—,3.29%,$1k,$1k,3.29
Affinity Federal Credit Union,4.2,90 Days,3.25%,$500,$500,3.25
CoVantage Credit Union,2.2,—,3.25%,$1k,$1k,3.25
Farmers Insurance Federal Credit Union,3.5,90 Days,3.25%,$1k,$1k,3.25
Pasadena Federal Credit Union,2.2,—,3.25%,$1k,$1k,3.25
Dow Credit Union,3.3,180 Days,3.24%,$500,$500,3.24
Lake Michigan Credit Union,3.0,—,3.20%,$500,$500,3.2
Marine Federal Credit Union,3.4,90 Days,3.14%,$10k,$1k,3.14
Kinecta Federal Credit Union,3.9,90 Days,3.10%,$100,$100,3.1
AgFed Credit Union,3.3,180 Days,3.05%,$250,$250,3.05
Northpointe Bank,2.6,90 Days,3.00%,$2.5k,$1k,3.0
Thrivent Federal Credit Union,2.0,—,3.00%,$1k,$1k,3.0
Southeast Financial Credit Union,2.9,180 Days,3.00%,$500,$500,3.0
Salal Credit Union,3.4,90 Days,3.00%,$1k,$1k,3.0
Premier America Credit Union,2.0,—,3.00%,$1k,$1k,3.0
Elements Financial,2.5,180 Days,3.00%,$1k,$1k,3.0
Abound Credit Union,4.0,90 Days,3.00%,$500,$500,3.0
EastRise Credit Union,3.0,—,3.00%,$500,$500,3.0
Advancial,1.2,—,2.97%,$25k,$25k,2.97
Princeton Federal Credit Union,2.5,—,2.80%,$1k,—,2.8
United Nations Federal Credit Union,4.0,90 Days,2.80%,$500,$500,2.8
Quorum Federal Credit Union,1.8,—,2.60%,$1k,$1k,2.6
Boeing Employees Credit Union (BECU),4.0,30 Days,2.60%,$500,$500,2.6
Blue Ridge Bank,3.1,90 Days,2.50%,$1k,$1k,2.5
NIH Federal Credit Union,3.8,90 Days,2.50%,$500,$500,2.5
Woodforest National Bank,2.8,—,2.50%,$500,$500,2.5
City National Bank (CA),2.5,90 Days,2.48%,$2.5k,$2.5k,2.48
Advantage Financial Federal Credit Union,3.0,—,2.28%,$500,—,2.28
Giantbank.com,1.0,—,2.28%,$2.5k,$2.5k,2.28
