BankName,Rating,EarlyWithDrawalPenalty,APY,MinEarn,MinDeposit,APY_Value
ConnectOne Bank,4.8,180 Days,4.00%,$500,$500,4.0
Chevron Federal Credit Union,5.0,—,4.00%,$500,—,4.0
CFG Bank,4.0,—,4.00%,$500,$500,4.0
Bask Bank,3.9,180 Days,4.00%,$1k,$1k,4.0
American Express,3.8,270 Days,4.00%,$0,$0,4.0
Affinity Plus Federal Credit Union,4.7,180 Days,4.00%,$500,$500,4.0
Synchrony Bank,4.6,90 Days,4.00%,$0,$0,4.0
Credit Union West,4.7,90 Days,4.00%,$500,$500,4.0
Copper State Credit Union,4.5,90 Days,4.00%,$500,$500,4.0
MainStreet Bank,4.4,90 Days,4.00%,$500,$500,4.0
Barclays,4.8,90 Days,4.00%,$0,$0,4.0
Capital One,4.6,90 Days,4.00%,$0,$0,4.0
Discover®,3.9,180 Days,4.00%,$0,$0,4.0
Fort Bragg Federal Credit Union,3.0,90 Days,4.00%,$25k,$25k,4.0
Ideal Credit Union,4.6,90 Days,4.00%,$500,$500,4.0
iGObanking,3.8,—,4.00%,$1k,—,4.0
Grow Financial Federal Credit Union,4.6,90 Days,3.97%,$500,$500,3.97
Credit Human,3.3,270 Days,3.96%,$500,$500,3.96
Sun Canyon Bank,3.4,180 Days,3.96%,$5k,$5k,3.96
Magnifi Financial,4.6,180 Days,3.95%,$500,$500,3.95
Bank5 Connect,4.6,180 Days,3.95%,$500,$500,3.95
Notre Dame Federal Credit Union,4.3,90 Days,3.95%,$0,$0,3.95
Northwest Federal Credit Union,3.1,180 Days,3.95%,$1k,$1k,3.95
Northrop Grumman Federal Credit Union,3.0,90 Days,3.95%,$2.5k,$2.5k,3.95
Crescent Bank,3.8,180 Days,3.90%,$1k,$1k,3.9
Live Oak Bank,3.6,90 Days,3.90%,$2.5k,$2.5k,3.9
E*TRADE from Morgan Stanley,4.6,—,3.90%,$0,$0,3.9
Skyla Credit Union,4.7,—,3.90%,$500,$500,3.9
Achieva Credit Union,3.8,—,3.90%,$500,$500,3.9
Self-Help Federal Credit Union,4.5,180 Days,3.87%,$500,$500,3.87
Matadors Community Credit Union,2.6,—,3.85%,$1k,$1k,3.85
Financial Partners Credit Union,2.6,—,3.85%,$1k,$1k,3.85
Ally Bank,4.6,60 Days,3.85%,$0,$0,3.85
Arizona Central Credit Union,2.6,—,3.82%,$1k,$1k,3.82
Hughes Federal Credit Union,3.7,90 Days,3.82%,$1k,$1k,3.82
SunWest Federal Credit Union,3.6,—,3.82%,$500,$500,3.82
Marine Federal Credit Union,4.0,180 Days,3.82%,$1k,$1k,3.82
Vio Bank,3.8,—,3.80%,$500,$500,3.8
University Federal Credit Union,3.8,—,3.80%,$1k,$1k,3.8
Langley Federal Credit Union,4.6,180 Days,3.80%,$500,$500,3.8
Bread Savings,3.6,180 Days,3.80%,$1.5k,$1.5k,3.8
Alliant Credit Union,3.8,120 Days,3.80%,$1k,$1k,3.8
State Bank of Texas (SBT),4.1,—,3.80%,$1k,$100k,3.8
CIBC Bank USA,4.1,30 Days,3.76%,$1k,$1k,3.76
Alhambra Credit Union,2.4,—,3.75%,$1k,—,3.75
Arizona Financial Credit Union,3.6,90 Days,3.75%,$1k,$1k,3.75
Armed Forces Bank,3.0,365 Days,3.75%,$500,$500,3.75
Blue Federal Credit Union,3.6,90 Days,3.75%,$1k,$1k,3.75
Desert Financial Credit Union,3.8,90 Days,3.75%,$1k,$1k,3.75
Hanscom Federal Credit Union,3.2,—,3.75%,$1k,—,3.75
Premier Members Credit Union,3.4,—,3.75%,$500,$500,3.75
Teachers Federal Credit Union,3.0,180 Days,3.75%,$1k,$1k,3.75
