BankName,Rating,EarlyWithDrawalPenalty,APY,MinEarn,MinDeposit,APY_Value
Pennsylvania State Employees Credit Union,4.4,90 Days,3.55%,$500,$500,3.55
NuVision Federal Credit Union,2.4,—,3.55%,$25k,$1k,3.55
American Express,3.3,270 Days,3.50%,$0,$0,3.5
Crescent Bank,3.4,90 Days,3.50%,$1k,$1k,3.5
Manasquan Bank,4.2,90 Days,3.50%,$500,$500,3.5
Pima Federal Credit Union,3.2,—,3.50%,$250,$250,3.5
UVA Community Credit Union,4.4,90 Days,3.50%,$500,$500,3.5
United States Senate Federal Credit Union,3.6,90 Days,3.46%,$1k,$1k,3.46
SunWest,3.7,—,3.45%,$500,—,3.45
Dow Credit Union,3.4,180 Days,3.37%,$500,$500,3.37
Allegacy Federal Credit Union,4.1,—,3.35%,$500,$500,3.35
Veridian Credit Union,4.2,90 Days,3.35%,$500,$50,3.35
Chartway Federal Credit Union,3.2,—,3.30%,$500,$500,3.3
Sandy Spring Bank,2.2,—,3.30%,$1k,$1k,3.3
Farmers & Merchants Bank,2.2,—,3.29%,$1k,$1k,3.29
Pasadena Federal Credit Union,2.2,—,3.25%,$1k,$1k,3.25
Orion Federal Credit Union,3.2,—,3.25%,$500,$500,3.25
Newtown Savings Bank,3.4,180 Days,3.25%,$500,$500,3.25
Farmers Insurance Federal Credit Union,3.5,90 Days,3.25%,$1k,$1k,3.25
CoVantage Credit Union,2.2,—,3.25%,$1k,$1k,3.25
Affinity Federal Credit Union,4.2,90 Days,3.25%,$500,$500,3.25
Lake Michigan Credit Union,3.0,—,3.20%,$500,$500,3.2
Marine Federal Credit Union,3.4,90 Days,3.14%,$10k,$1k,3.14
Kinecta Federal Credit Union,3.9,90 Days,3.10%,$100,$100,3.1
