BankName,Rating,EarlyWithDrawalPenalty,APY,MinEarn,MinDeposit,APY_Value
Pennsylvania State Employees Credit Union,4.4,90 Days,3.55%,$500,$500,3.55
American Express,3.3,270 Days,3.50%,$0,$0,3.5
Manasquan Bank,4.2,90 Days,3.50%,$500,$500,3.5
Pima Federal Credit Union,3.2,—,3.50%,$250,$250,3.5
Thrivent Federal Credit Union,2.2,—,3.50%,$1k,$1k,3.5
United States Senate Federal Credit Union,3.6,90 Days,3.46%,$1k,$1k,3.46
SunWest,3.7,—,3.45%,$500,—,3.45
Skyla Credit Union,4.2,—,3.40%,$500,$500,3.4
Dow Credit Union,3.4,180 Days,3.37%,$500,$500,3.37
Veridian Credit Union,4.2,90 Days,3.35%,$500,$50,3.35
Allegacy Federal Credit Union,4.1,—,3.35%,$500,$500,3.35
Chartway Federal Credit Union,3.2,—,3.30%,$500,$500,3.3
Farmers & Merchants Bank,2.2,—,3.29%,$1k,$1k,3.29
Orion Federal Credit Union,3.2,—,3.25%,$500,$500,3.25
West Union Bank,3.7,—,3.25%,$500,—,3.25
Pasadena Federal Credit Union,2.2,—,3.25%,$1k,$1k,3.25
Newtown Savings Bank,3.4,180 Days,3.25%,$500,$500,3.25
Farmers Insurance Federal Credit Union,3.5,90 Days,3.25%,$1k,$1k,3.25
CoVantage Credit Union,2.2,—,3.25%,$1k,$1k,3.25
Affinity Federal Credit Union,4.2,90 Days,3.25%,$500,$500,3.25
Marine Federal Credit Union,3.4,90 Days,3.14%,$10k,$1k,3.14
AgFed Credit Union,3.3,180 Days,3.05%,$250,$250,3.05
Mirastar Federal Credit Union,4.0,90 Days,3.03%,$500,$500,3.03
NIH Federal Credit Union,4.0,90 Days,3.00%,$500,$500,3.0
Southeast Financial Credit Union,2.9,180 Days,3.00%,$500,$500,3.0
Salal Credit Union,3.4,90 Days,3.00%,$1k,$1k,3.0
Abound Credit Union,4.0,90 Days,3.00%,$500,$500,3.0
Elements Financial,2.5,180 Days,3.00%,$1k,$1k,3.0
EastRise Credit Union,3.0,—,3.00%,$500,$500,3.0
Advancial,1.2,—,2.92%,$25k,$25k,2.92
Princeton Federal Credit Union,2.5,—,2.80%,$1k,—,2.8
United Nations Federal Credit Union,3.8,90 Days,2.70%,$500,$500,2.7
Quorum Federal Credit Union,2.8,—,2.60%,$100,$1k,2.6
Blue Ridge Bank,3.1,90 Days,2.50%,$1k,$1k,2.5
Patriot Federal Credit Union,1.8,—,2.50%,$10k,$1k,2.5
Woodforest National Bank,2.8,—,2.50%,$500,$500,2.5
City National Bank (CA),2.5,90 Days,2.48%,$2.5k,$2.5k,2.48
Summit Credit Union (WI),3.1,180 Days,2.40%,$500,$500,2.4
Boeing Employees Credit Union (BECU),4.0,30 Days,2.35%,$500,$500,2.35
Advantage Financial Federal Credit Union,3.0,—,2.28%,$500,—,2.28
Giantbank.com,1.0,—,2.28%,$2.5k,$2.5k,2.28
