BankName,Rating,ServiceCharge,APY,MinEarn,MinDeposit,APY_Value
Luana Savings Bank,3.7,$10,2.48%,$2.5k,$2.5k,2.48
Seattle Bank,4.8,$5,2.40%,$0,$100,2.4
Achieva Credit Union,3.4,—,2.25%,$10k,—,2.25
Finworth,2.8,—,2.22%,$10k,$10k,2.22
DC Credit Union,3.5,—,2.12%,$10k,—,2.12
Self-Help Federal Credit Union,3.8,$5,2.11%,$500,$500,2.11
Self-Help Credit Union,4.4,$5,2.11%,$500,$500,2.11
Department Of Commerce Federal Credit Union,3.6,$0,2.02%,$20k,$2.5k,2.02
KS StateBank,5.0,$0,2.02%,$25k,$2.5k,2.02
Synchrony Bank,4.6,$0,2.00%,$0,$0,2.0
Connexus Credit Union,4.6,—,2.00%,$20k,$1k,2.0
Credit Human,4.6,$7,2.00%,$10k,$1k,2.0
American Bank,4.8,$0,2.00%,$0,$1,2.0
Lake Michigan Credit Union,4.6,$0,2.00%,$25k,$0,2.0
Allegacy Federal Credit Union,4.6,$0,1.80%,$25k,$50,1.8
Digital Federal Credit Union (DCU),4.6,$0,1.77%,$25k,$0,1.77
BB Americas Bank,3.6,$20,1.75%,$10k,$1k,1.75
Tower Federal Credit Union,5.0,$0,1.75%,$10k,$2.5k,1.75
Genisys Credit Union,3.8,—,1.71%,$25k,$2.5k,1.71
Mountain America Credit Union,5.0,—,1.70%,$25k,$0,1.7
NASA Federal Credit Union,4.3,$10,1.65%,$0,$25k,1.65
CoVantage Credit Union,4.4,—,1.65%,$25k,—,1.65
Library Of Congress Federal Credit Union,3.5,—,1.61%,$20k,$2.5k,1.61
Apple Federal Credit Union,5.0,—,1.60%,$20k,$2.5k,1.6
CIT Bank,4.0,$0,1.55%,$0,$100,1.55
167th TFR Federal Credit Union,3.0,—,1.51%,$10k,—,1.51
IncredibleBank,4.5,$10,1.51%,$10k,$0,1.51
Andrews Federal Credit Union,3.7,—,1.50%,$0,$0,1.5
Princeton Federal Credit Union,3.4,—,1.50%,$7.5k,—,1.5
Northrop Grumman Federal Credit Union,3.2,—,1.50%,$2.5k,$2.5k,1.5
Veridian Credit Union,3.8,$0,1.45%,$2.5k,—,1.45
SkyPoint Federal Credit Union,4.0,$0,1.40%,$25k,$1k,1.4
All In Credit Union (AL),4.0,—,1.31%,$25k,$0,1.31
State Department Federal Credit Union,2.8,$0,1.26%,$25k,$25k,1.26
MainStreet Bank,4.4,—,1.25%,$25k,$2.5k,1.25
Woodforest National Bank,3.8,$25,1.25%,$0,$25,1.25
Vision Financial Federal Credit Union,2.8,—,1.21%,$2.5k,—,1.21
Quorum Federal Credit Union,4.4,$0,1.20%,$25k,—,1.2
Salal Credit Union,3.4,$5,1.20%,$25k,$2.5k,1.2
United States Senate Federal Credit Union,3.6,$0,1.11%,$20k,$2k,1.11
Citizens State Bank (6194),4.0,—,1.11%,$25k,$0,1.11
Loudoun Credit Union,2.3,—,1.10%,$20k,—,1.1
Boeing Employees Credit Union (BECU),4.4,$0,1.06%,$10k,—,1.06
Corporate America Family Credit Union,4.2,$0,1.01%,$25k,—,1.01
Thrivent Federal Credit Union,3.9,$10,1.01%,$25k,$0,1.01
Mid-Atlantic Federal Credit Union,4.4,$0,1.00%,$0,$2.5k,1.0
Amalgamated Bank,4.4,—,1.00%,$25k,—,1.0
GECU,3.2,—,1.00%,$2.5k,$2.5k,1.0
Langley Federal Credit Union,3.6,—,1.00%,$25k,$0,1.0
Old Dominion National Bank,4.1,$10,1.00%,$0,$1k,1.0
Greenwood Credit Union,3.4,$0,1.00%,$2.5k,$2.5k,1.0
"Fulton Bank, National Association",3.7,$15,0.99%,$25k,—,0.99
Southeast Financial Credit Union,3.2,—,0.90%,$10k,$0,0.9
AgFed Credit Union,3.7,—,0.85%,$10k,$0,0.85
Technology Credit Union,3.6,$0,0.85%,$25k,—,0.85
NuVision Federal Credit Union,3.4,—,0.80%,$25k,$2.5k,0.8
American Broadcast Employees Federal Credit Union,3.5,—,0.75%,$25k,$2.5k,0.75
Pasadena Federal Credit Union,2.8,—,0.75%,$10k,$2.5k,0.75
Bulldog Federal Credit Union,3.4,—,0.75%,$25k,—,0.75
Marine Federal Credit Union,5.0,—,0.75%,$0,$0,0.75
Abound Credit Union,3.7,—,0.75%,$10k,$0,0.75
Jovia Financial Credit Union,3.2,$0,0.75%,$25k,—,0.75
Service Credit Union,3.4,$5,0.70%,$25k,—,0.7
UNIFY Financial Credit Union,2.5,—,0.65%,$10k,$2.5k,0.65
Northwest Federal Credit Union,4.0,—,0.65%,$25k,$0,0.65
Consumers Credit Union (IL),3.7,—,0.65%,$25k,—,0.65
GTE Financial,4.0,—,0.65%,$10k,$1,0.65
Magnifi Financial,3.8,$0,0.65%,$25k,$2.5k,0.65
Workers Credit Union,3.2,$7,0.60%,$25k,$1k,0.6
Alabama Credit Union,4.1,—,0.60%,$25k,$2.5k,0.6
SunWest,3.0,—,0.60%,$25k,—,0.6
Teachers Federal Credit Union,3.4,$5,0.60%,$25k,$2.5k,0.6
Treasury Department Federal Credit Union,2.7,—,0.60%,$15k,—,0.6
Velocity Credit Union,2.9,$10,0.60%,$2k,$1k,0.6
North American Savings Bank,3.5,$7.50,0.55%,$25k,$1k,0.55
The National Capital Bank of Washington,3.7,—,0.55%,$25k,—,0.55
Chartway Federal Credit Union,2.2,—,0.55%,$25k,—,0.55
Pinnacle Federal Credit Union,2.1,—,0.55%,$20k,$20k,0.55
Advancial,2.8,$0,0.51%,$25k,$2.5k,0.51
