BankName,Rating,ServiceCharge,APY,MinEarn,MinDeposit,APY_Value
Salal Credit Union,3.4,$5,1.20%,$25k,$2.5k,1.2
United States Senate Federal Credit Union,3.6,$0,1.01%,$20k,$2k,1.01
Greenwood Credit Union,3.4,$0,1.00%,$2.5k,$2.5k,1.0
Langley Federal Credit Union,3.6,—,1.00%,$25k,$0,1.0
Mirastar Federal Credit Union,2.2,—,1.00%,$2.5k,$2.5k,1.0
American 1 Credit Union,2.6,$5,1.00%,$5k,$5k,1.0
GECU,3.2,—,1.00%,$2.5k,$2.5k,1.0
Pen Air Credit Union,3.1,$10,1.00%,$25k,$2.5k,1.0
Skyla Credit Union,4.0,—,1.00%,$1k,$1k,1.0
Southeast Financial Credit Union,3.2,—,0.90%,$10k,$0,0.9
Technology Credit Union,3.6,$0,0.85%,$25k,—,0.85
Amegy Bank,3.0,$12,0.80%,$1k,$500,0.8
Spectra Credit Union,3.2,—,0.80%,$2.5k,—,0.8
AgFed Credit Union,3.7,—,0.75%,$10k,$0,0.75
Abound Credit Union,3.4,—,0.75%,$10k,$0,0.75
Marine Federal Credit Union,5.0,—,0.75%,$0,$0,0.75
NuVision Federal Credit Union,3.4,—,0.70%,$25k,$2.5k,0.7
Service Credit Union,3.4,$5,0.70%,$25k,—,0.7
Magnifi Financial,3.8,$0,0.65%,$25k,$2.5k,0.65
GTE Financial,4.0,—,0.65%,$10k,$1,0.65
Northwest Federal Credit Union,4.0,—,0.65%,$25k,$0,0.65
UNIFY Financial Credit Union,2.5,—,0.65%,$10k,$2.5k,0.65
Alabama Credit Union,4.1,—,0.60%,$25k,$2.5k,0.6
SunWest,3.0,—,0.60%,$25k,—,0.6
Teachers Federal Credit Union,3.4,$5,0.60%,$25k,$2.5k,0.6
Velocity Credit Union,2.9,$10,0.60%,$2k,$1k,0.6
Chartway Federal Credit Union,2.2,—,0.55%,$25k,—,0.55
Advancial,2.8,$0,0.51%,$25k,$2.5k,0.51
Pima Federal Credit Union,4.6,—,0.50%,$1k,—,0.5
Newtown Savings Bank,2.7,$20,0.50%,$20,$0,0.5
AmeriCU,3.7,—,0.50%,$25k,$0,0.5
Paramount Bank (MO),3.5,$10,0.50%,$0,$100,0.5
KeyBank,2.8,$20,0.50%,$25k,$5k,0.5
St. Mary's Bank,2.7,$10,0.45%,$10k,$10,0.45
True Sky Credit Union,2.5,—,0.45%,$25k,—,0.45
Zions Bank,4.0,$0,0.45%,$1k,$500,0.45
Valley National Bank,2.6,$25,0.40%,$10k,$10k,0.4
EastRise Credit Union,5.0,—,0.34%,$0,—,0.34
Justice Federal Credit Union,1.8,—,0.30%,$25k,$25,0.3
Patelco Credit Union,4.6,$0,0.25%,$0,$1,0.25
TAB Bank,3.4,$0,0.25%,$0,$25,0.25
Premier Members Credit Union,5.0,—,0.25%,$0,$5,0.25
U.S. Bank,3.1,$10,0.25%,$25k,$100,0.25
Axos Bank,3.4,$0,0.25%,$0,—,0.25
Giantbank.com,2.4,—,0.25%,$1k,$1k,0.25
bankESB,3.4,$6,0.20%,$0,$500,0.2
MutualOne Bank,3.0,$0,0.20%,$10k,$500,0.2
FourLeaf Federal Credit Union,3.7,—,0.20%,$500,$500,0.2
NIH Federal Credit Union,3.4,$0,0.20%,$25k,$0,0.2
Summit Credit Union (WI),2.4,—,0.18%,$25k,$0,0.18
Wings Financial Credit Union,1.8,$0,0.15%,$5k,$5k,0.15
University Federal Credit Union,5.0,$0,0.15%,$10k,$2.5k,0.15
United Federal Credit Union,1.6,—,0.15%,$1k,—,0.15
Lafayette Federal Credit Union,1.8,—,0.15%,$25k,$2.5k,0.15
Farmers Insurance Federal Credit Union,2.4,—,0.15%,$25k,$1k,0.15
Advisor Bank,2.1,—,0.10%,$0,—,0.1
Salem Five,4.6,$0,0.10%,$0,$10,0.1
Community Bank of Raymore,3.1,$10,0.10%,$25k,$25,0.1
Financial Partners Credit Union,3.1,$10,0.10%,$5k,$2.5k,0.1
