BankName,Rating,ServiceCharge,APY,MinEarn,MinDeposit,APY_Value
NuVision Federal Credit Union,2.2,$25,0.10%,$25k,$100,0.1
OneUnited Bank,3.1,$20,0.10%,$100,$500,0.1
Partners 1St Federal Credit Union,3.4,$7.50,0.10%,$0,—,0.1
Pennsylvania State Employees Credit Union,4.2,$0,0.10%,$0,—,0.1
Prime Alliance Bank,4.2,$0,0.10%,$15k,$1,0.1
Spectrum Credit Union,3.8,$0,0.10%,$500,—,0.1
Self-Help Federal Credit Union,3.9,$5,0.10%,$0,$0,0.1
Heartland Bank and Trust Company,3.7,$8,0.10%,$25k,$50,0.1
SRP Federal Credit Union,3.2,—,0.10%,$0,—,0.1
TAB Bank,3.3,$8,0.10%,$1,$25,0.1
Technology Credit Union,3.0,$0,0.10%,$1.5k,$0,0.1
The Federal Savings Bank,3.5,—,0.10%,$100,—,0.1
La Capitol Federal Credit Union,2.8,$8,0.10%,$2.5k,$2.5k,0.1
Latino Credit Union,3.8,$2,0.10%,$0,$0,0.1
Hanscom Federal Credit Union,3.6,$9.95,0.10%,$0,$0,0.1
Cornerstone National Bank & Trust Company,3.5,—,0.10%,$25k,—,0.1
Advancial,4.0,$0,0.10%,$10k,$0,0.1
American Metro Bank,3.8,$10,0.10%,$0,$300,0.1
Genisys Credit Union,2.4,$10,0.10%,$1.5k,$1.5k,0.1
bankESB,4.2,$0,0.10%,$25k,$100,0.1
Capital One,4.3,$0,0.10%,$0,$0,0.1
Chevron Federal Credit Union,3.7,$0,0.10%,$500,—,0.1
Bank of Blue Valley,3.6,$12,0.10%,$0,$500,0.1
CoVantage Credit Union,3.8,$0,0.10%,$500,—,0.1
Credit Human,3.6,$5,0.10%,$0,$25,0.1
Eureka Savings Bank,3.8,—,0.10%,$0,—,0.1
First Flight Federal Credit Union,3.8,—,0.10%,$0,—,0.1
Fort Bragg Federal Credit Union,2.4,$5.95,0.10%,$2.5k,—,0.1
GECU,3.3,$0,0.10%,$2.5k,$0,0.1
Zions Bank,3.0,$10,0.06%,$5k,$50,0.06
Affinity Federal Credit Union,2.6,$7,0.05%,$1k,—,0.05
Allegacy Federal Credit Union,3.4,$3,0.05%,$0,$50,0.05
"American Bank and Trust Company, National Association",3.2,—,0.05%,$0,—,0.05
American Broadcast Employees Federal Credit Union,3.8,$0,0.05%,$0,—,0.05
"Associated Bank, NA",3.2,$25,0.05%,$0,$100,0.05
Bank of Pontiac,3.2,—,0.05%,$2.5k,—,0.05
Boeing Employees Credit Union (BECU),4.0,$0,0.05%,$0,—,0.05
California Coast Credit Union,3.0,$8,0.05%,$50,$25,0.05
Chartway Federal Credit Union,2.4,$6,0.05%,$10k,—,0.05
