BankName,Rating,ServiceCharge,APY,MinEarn,MinDeposit,APY_Value
American Bank,4.8,$0,2.00%,$0,$1,2.0
Connexus Credit Union,4.6,—,2.00%,$20k,$1k,2.0
Credit Human,4.6,$7,2.00%,$10k,$1k,2.0
Synchrony Bank,4.6,$0,2.00%,$0,$0,2.0
AERO Financial Credit Union,3.4,$0,1.90%,$20k,$5k,1.9
Allegacy Federal Credit Union,4.6,$0,1.80%,$25k,$50,1.8
Digital Federal Credit Union (DCU),4.6,$0,1.77%,$25k,$0,1.77
First American Credit Union,3.8,$0,1.76%,$10k,$1.5k,1.76
BB Americas Bank,3.6,$20,1.75%,$10k,$1k,1.75
Genisys Credit Union,3.8,—,1.71%,$25k,$2.5k,1.71
NASA Federal Credit Union,4.3,$10,1.65%,$0,$25k,1.65
CoVantage Credit Union,4.4,—,1.65%,$25k,—,1.65
Library Of Congress Federal Credit Union,3.5,—,1.61%,$20k,$2.5k,1.61
Credit Union West,4.8,$0,1.60%,$2.5k,$0,1.6
SunWest Federal Credit Union,4.4,$0,1.56%,$25k,—,1.56
CIT Bank,4.0,$0,1.55%,$0,$100,1.55
IncredibleBank,4.5,$10,1.51%,$10k,$0,1.51
Andrews Federal Credit Union,3.7,—,1.50%,$0,$0,1.5
Northrop Grumman Federal Credit Union,3.2,—,1.50%,$2.5k,$2.5k,1.5
Princeton Federal Credit Union,3.4,—,1.50%,$7.5k,—,1.5
Oklahoma Central Credit Union,5.0,—,1.50%,$0,—,1.5
Veridian Credit Union,3.8,$0,1.45%,$2.5k,—,1.45
TruWest Credit Union,4.4,$0,1.40%,$25k,$10k,1.4
Grow Financial Federal Credit Union,4.4,—,1.36%,$25k,—,1.36
All In Credit Union (AL),4.0,—,1.31%,$25k,$0,1.31
MainStreet Bank,4.4,—,1.25%,$25k,$2.5k,1.25
WaFd Bank,3.7,—,1.25%,$0,—,1.25
Quorum Federal Credit Union,4.4,$0,1.20%,$25k,—,1.2
Salal Credit Union,3.4,$5,1.20%,$25k,$2.5k,1.2
Arizona Central Credit Union,3.9,$15,1.11%,$10k,$1k,1.11
Mohave Community Federal Credit Union,3.4,$12,1.01%,$10k,$1k,1.01
United States Senate Federal Credit Union,3.6,$0,1.01%,$20k,$2k,1.01
Bank of Colorado,3.7,$15,1.00%,$25k,$1k,1.0
Skyla Credit Union,4.0,—,1.00%,$1k,$1k,1.0
Pen Air Credit Union,3.1,$10,1.00%,$25k,$2.5k,1.0
GECU,3.2,—,1.00%,$2.5k,$2.5k,1.0
Desert Financial Credit Union,3.5,$15,1.00%,$25k,—,1.0
Mirastar Federal Credit Union,2.2,—,1.00%,$2.5k,$2.5k,1.0
Arizona Financial Credit Union,3.7,$15,1.00%,$25k,$2k,1.0
American 1 Credit Union,2.6,$5,1.00%,$5k,$5k,1.0
Stearns Bank National Association,4.4,—,1.00%,$0,—,1.0
Langley Federal Credit Union,3.6,—,1.00%,$25k,$0,1.0
Greenwood Credit Union,3.4,$0,1.00%,$2.5k,$2.5k,1.0
BMO Bank N.A.,4.3,$10,0.95%,$25k,$25,0.95
Southeast Financial Credit Union,3.2,—,0.90%,$10k,$0,0.9
Copper State Credit Union,4.8,$0,0.85%,$25k,—,0.85
Technology Credit Union,3.6,$0,0.85%,$25k,—,0.85
