BankName,Rating,ServiceCharge,APY,MinBalance,EstEarnfor50000,APY_Value
Alliant Credit Union,4.0,$1,3.10%,$100,$5,3.1
mph.bank,4.6,—,3.00%,$0,—,3.0
Meriwest Credit Union,4.2,—,3.00%,$100,—,3.0
Abound Credit Union,5.0,—,2.96%,$0,—,2.96
PenFed Credit Union,4.7,$0,2.80%,$0,$5,2.8
First National Bank of America,3.4,—,2.51%,$1k,$1k,2.51
Chartway Federal Credit Union,4.0,—,2.50%,$100,—,2.5
Dow Credit Union,4.7,—,2.28%,$0,$0,2.28
Workers Credit Union,4.6,$0,2.20%,$5,$5,2.2
Dover Federal Credit Union,4.0,—,2.00%,$0,—,2.0
Farmers Insurance Federal Credit Union,4.6,$0,2.00%,$0,$0,2.0
CTBC Bank,4.9,$0,1.80%,$0,$250,1.8
Lake Michigan Credit Union,3.9,—,1.75%,$100,$0,1.75
BankPurely,4.5,—,1.50%,$0,$100,1.5
iGObanking,4.6,$0,1.50%,$0,$100,1.5
American Bank,4.8,$0,1.50%,$0,$1,1.5
Banesco USA,3.0,$10,1.35%,$300,$100,1.35
United Nations Federal Credit Union,4.2,—,1.20%,$25k,—,1.2
Vio Bank,3.6,$0,1.10%,$100,$100,1.1
California Bank & Trust,4.2,—,1.01%,$0,—,1.01
Achieva Credit Union,4.4,—,1.00%,$1,—,1.0
Elements Financial,4.9,$0,1.00%,$2.5k,$5,1.0
KS StateBank,3.9,$0,1.00%,$100,$100,1.0
Newtown Savings Bank,4.6,$0,1.00%,$0,$25,1.0
Affinity Federal Credit Union,4.5,$0,0.90%,$25k,$0,0.9
First Internet Bank,4.3,$0,0.81%,$0,$25,0.81
All In Credit Union (AL),4.2,—,0.80%,$0,$5,0.8
Customers Bank,3.2,—,0.75%,$5k,$5k,0.75
EverTrust Bank,2.6,$10,0.75%,$10k,$3k,0.75
Spectrum Credit Union,4.5,—,0.75%,$0,$25,0.75
Chevron Federal Credit Union,4.4,—,0.75%,$25,$25,0.75
Credit Human,4.0,$0,0.75%,$100,$5,0.75
CEFCU,4.6,—,0.71%,$10k,$5,0.71
Amalgamated Bank,4.4,—,0.70%,$0,—,0.7
CoVantage Credit Union,4.6,—,0.65%,$0,$10,0.65
BB Americas Bank,3.1,$5,0.55%,$1k,$1k,0.55
FitnessBank,3.1,$10,0.50%,$100,$100,0.5
Monterra Credit Union,4.8,—,0.50%,$0,$0,0.5
Vibrant Credit Union,3.8,$0,0.50%,$0,$0,0.5
Amegy Bank,4.3,$4,0.45%,$25k,$50,0.45
Thrivent Federal Credit Union,4.0,$0,0.45%,$25k,$0,0.45
OneUnited Bank,3.5,$5,0.40%,$100,$100,0.4
Northrop Grumman Federal Credit Union,3.7,$2,0.40%,$100,$5,0.4
Greenwood Credit Union,4.6,—,0.35%,$1,$5,0.35
Self-Help Federal Credit Union,3.7,$0,0.30%,$100,$5,0.3
State Bank of India (California),3.1,—,0.30%,$10k,$500,0.3
Pen Air Credit Union,4.3,—,0.30%,$25k,$5,0.3
Self-Help Credit Union,4.5,—,0.30%,$0,$5,0.3
Velocity Credit Union,3.7,$0,0.30%,$1.5k,$5,0.3
Blue Federal Credit Union,4.1,—,0.30%,$0,$0,0.3
Pennsylvania State Employees Credit Union,4.6,—,0.25%,$0,$5,0.25
The Federal Savings Bank,3.4,—,0.25%,$100,$25,0.25
Antioch Community Federal Credit Union,4.4,—,0.25%,$5,—,0.25
Alabama Credit Union,4.5,—,0.25%,$5,$5,0.25
Service Credit Union,3.2,—,0.25%,$50,—,0.25
EastRise Credit Union,4.4,—,0.20%,$0,$5,0.2
Technology Credit Union,4.1,$0,0.20%,$25,$25,0.2
Fort Liberty Federal Credit Union,4.4,—,0.20%,$5,$5,0.2
Sun Canyon Bank,3.1,$5,0.20%,$25k,$250,0.2
Northfield Bank,3.8,$8,0.15%,$0,$10,0.15
1st Nor Cal Credit Union,3.8,$0,0.15%,$10k,$5,0.15
Allegacy Federal Credit Union,4.3,$0,0.15%,$0,$5,0.15
Charles Schwab Bank,4.4,$0,0.15%,$0,—,0.15
GECU,3.8,$0,0.15%,$100,$10,0.15
GTE Financial,3.2,$7,0.15%,$100,$5,0.15
Latino Credit Union,3.9,$2,0.15%,$10,$10,0.15
Library Of Congress Federal Credit Union,3.8,—,0.15%,$0,$5,0.15
Travis Credit Union,2.6,$3,0.15%,$10k,$10,0.15
